accx,accy,accz
0.037,-0.023,-0.073
0.01,-0.066,-0.078
-0.025,-0.047,-0.064
0.001,-0.03,-0.107
-0.006,-0.039,-0.083
0,-0.022,-0.088
0.041,-0.017,-0.09
0.07,-0.058,-0.126
0.012,-0.067,-0.176
-0.003,-0.042,-0.114
0.022,-0.085,-0.04
0.003,-0.073,0.03
0.01,-0.08,0.021
0.031,-0.122,0.04
0.007,-0.127,0.114
0.031,-0.113,0.149
0.016,-0.125,0.145
0.014,-0.151,0.173
0,-0.125,0.113
-0.011,-0.096,0.097
0.021,-0.046,0.089
-0.03,0.015,-0.01
-0.03,0.015,-0.01
-0.029,0.082,-0.123
0.011,0.034,-0.11
0.011,0.034,-0.11
-0.033,0.045,-0.05
-0.033,0.045,-0.05
-0.049,-0.026,0.042
-0.049,-0.026,0.042
-0.058,-0.007,0.001
-0.041,0.033,-0.017
-0.041,0.033,-0.017
-0.029,0.045,0.078
-0.029,0.045,0.078
-0.007,0.012,0.054
0.008,0.052,-0.024
0.008,0.052,-0.024
0.027,0.09,0.031
0.015,0.049,0.081
0.015,0.049,0.081
0.023,-0.08,0.105
0.023,-0.08,0.105
0.047,-0.083,0.077
0.047,-0.083,0.077
0.071,-0.081,0.045
0.083,-0.071,0.081
0.083,-0.071,0.081
0.078,-0.069,-0.004
0.078,-0.069,-0.004
0.078,-0.117,-0.012
0.111,-0.041,-0.067
0.111,-0.041,-0.067
0.077,-0.046,-0.015
0.077,-0.046,-0.015
0.091,-0.087,0.008
0.062,-0.166,0.058
0.062,-0.166,0.058
-0.015,-0.092,0.013
-0.015,-0.092,0.013
-0.001,-0.042,0.063
-0.02,-0.033,0.142
-0.02,-0.033,0.142
-0.054,-0.114,0.099
-0.061,-0.073,0.035
-0.061,-0.073,0.035
-0.035,-0.006,-0.082
-0.035,-0.006,-0.082
-0.049,0.072,-0.058
-0.049,0.072,-0.058
-0.054,0.046,-0.07
-0.081,-0.041,-0.028
-0.081,-0.041,-0.028
-0.063,-0.069,0.002
-0.063,-0.069,0.002
-0.048,-0.052,-0.004
