accx,accy,accz
1.892,1.392,4.214
2.058,1.341,5.168
2.075,1.352,6.057
2.11,1.309,6.711
2.226,1.2,7.033
2.318,1.152,7.085
2.494,1.125,6.936
2.573,1.128,6.564
2.595,1.148,6.006
2.557,1.137,5.41
2.554,1.095,4.83
2.562,1.008,4.381
2.625,0.757,4.055
2.577,0.483,3.73
2.514,0.323,3.366
2.351,0.159,2.874
2.159,0.061,2.282
1.986,-0.046,1.649
1.774,-0.109,0.956
1.531,-0.143,0.081
1.272,-0.159,-0.876
0.953,-0.097,-1.966
0.668,-0.035,-3.04
0.486,0.026,-4.15
0.326,0.144,-5.135
0.287,0.208,-5.952
0.419,0.175,-6.635
0.565,0.131,-7.007
0.79,0.069,-7.147
0.964,-0.111,-7.149
1.044,-0.304,-7.004
0.981,-0.484,-6.83
0.815,-0.61,-6.626
0.623,-0.765,-6.516
0.41,-0.912,-6.318
0.075,-1.021,-6.135
-0.301,-1.043,-6.006
-0.613,-1.084,-5.852
-0.901,-1.115,-5.712
-1.176,-1.088,-5.521
-1.418,-1.069,-5.382
-1.63,-0.969,-5.2
-1.732,-0.867,-4.991
-1.716,-0.799,-4.824
-1.689,-0.712,-4.691
-1.661,-0.576,-4.704
-1.625,-0.414,-4.527
-1.635,-0.281,-4.319
-1.619,-0.101,-3.98
-1.693,0.038,-3.596
-1.751,0.256,-3.014
-1.745,0.391,-2.324
-1.706,0.513,-1.47
-1.619,0.627,-0.492
-1.184,0.819,2.135
-1.184,0.819,2.135
-0.798,0.864,3.818
-0.171,0.711,5.524
0.328,0.522,7.17
0.387,0.326,9.172
0.387,0.326,9.172
-0.054,0.402,9.608
-0.743,0.531,9.643
-1.301,0.606,9.256
-2.229,0.77,7.884
-2.229,0.77,7.884
-2.692,1.13,6.485
-2.692,1.13,6.485
-2.469,1.191,5.689
-2.105,1.125,5.022
-1.862,1.038,4.501
-1.004,0.888,4.072
-0.453,0.756,3.787
-0.096,0.523,3.518
0.506,0.112,3.277
0.629,-0.314,2.687
0.141,-0.698,1.196
0.141,-0.698,1.196
-0.631,-0.798,-0.138
-1.299,-0.799,-1.959
-1.299,-0.799,-1.959
-1.794,-0.775,-3.955
-1.794,-0.775,-3.955
-1.925,-0.643,-4.776
-1.571,-0.648,-5.926
-1.571,-0.648,-5.926
-1.184,-0.331,-6.266
-1.184,-0.331,-6.266
-1.211,-0.215,-6.487
-0.144,-1.059,-7.145
-0.144,-1.059,-7.145
0.086,-1.384,-7.732
0.086,-1.384,-7.732
0.127,-1.603,-7.815
-0.222,-1.191,-7.91
-0.222,-1.191,-7.91
-0.482,-1.341,-8.595
-0.436,-1.468,-8.832
-0.375,-1.576,-8.837
-0.375,-1.576,-8.837
-0.34,-1.567,-8.84
-0.627,-1.268,-7.511
-0.676,-1.235,-6.818
-0.676,-1.235,-6.818
-0.731,-1.305,-5.32
-0.755,-1.308,-4.779
-0.757,-1.123,-4.338
-0.654,-0.95,-4.006
-0.654,-0.95,-4.006
-0.733,-0.369,-3.103
-0.733,-0.369,-3.103
-0.666,0.242,-2.159
-0.666,0.242,-2.159
-0.603,0.5,-1.662
-0.447,1.057,-0.811
-0.328,1.401,0
-0.335,1.569,1.314
-0.279,1.641,2.532
-0.321,1.674,3.608
-0.221,1.613,4.597
-0.162,1.354,5.391
-0.097,1.291,6.422
-0.097,1.291,6.422
0.289,1.194,6.827
0.788,1.015,6.834
1.346,0.827,6.434
1.678,0.733,6.109
1.852,0.735,5.756
2.111,0.663,5.372
2.254,0.545,4.856
2.329,0.416,4.451
2.277,0.173,4.167
2.107,-0.036,3.87
1.922,-0.289,3.398
1.74,-0.503,2.777
1.642,-0.678,2.056
