accx,accy,accz
0.428,0.486,3.907
0.8,0.215,4.039
1.03,0.238,4.149
1.03,0.238,4.149
1.612,0.305,4.29
2.009,0.067,4.338
2.151,-0.144,4.353
2.226,-0.49,4.228
2.092,-0.73,3.741
1.724,-0.673,3.033
1.298,-0.512,2.165
0.929,-0.379,1.366
0.735,-0.41,0.545
0.512,-0.287,-0.409
0.268,-0.087,-1.222
0.197,0.036,-1.893
0.232,0.093,-2.548
0.31,0.166,-2.999
0.414,0.17,-3.329
0.586,0.093,-3.44
0.727,-0.105,-3.371
0.781,-0.242,-3.189
0.653,-0.36,-2.941
0.482,-0.548,-2.832
0.108,-0.707,-2.795
-0.246,-0.79,-2.851
-0.553,-0.879,-3.025
-0.805,-0.922,-3.342
-1.02,-0.848,-3.678
-1.202,-0.769,-4.056
-1.336,-0.637,-4.428
-1.415,-0.558,-4.769
-1.654,-0.396,-4.976
-1.815,-0.31,-5.081
-1.937,-0.184,-5.088
-2.027,-0.117,-5.021
-2.113,-0.041,-4.798
-2.112,0.101,-4.518
-2.114,0.179,-4.236
-2.058,0.279,-3.906
-2.02,0.358,-3.558
-1.934,0.409,-3.194
-1.838,0.41,-2.787
-1.776,0.415,-2.286
-1.744,0.351,-1.822
-1.641,0.262,-1.345
-1.627,0.264,-0.88
-1.546,0.21,-0.339
-1.493,0.183,0.121
-1.447,0.187,0.559
-1.456,0.246,0.991
-1.457,0.334,1.403
-1.533,0.462,1.867
-1.571,0.554,2.207
-1.593,0.611,2.43
-1.488,0.63,2.678
-1.297,0.7,2.836
-0.955,0.712,2.784
-0.564,0.732,2.881
-0.224,0.786,2.906
-0.061,0.901,2.833
-0.171,1.089,2.778
-0.522,1.251,2.948
-0.705,1.224,3.251
-0.609,0.975,3.558
-0.425,0.755,3.78
-0.191,0.636,4.039
0.177,0.468,4.336
0.675,0.204,4.404
0.931,-0.171,4.401
1.283,-0.705,4.256
1.261,-1.097,3.761
0.844,-1.105,2.977
0.158,-0.91,2.076
-0.279,-0.878,1.133
-0.408,-0.834,0.263
-0.779,-0.516,-0.686
-0.947,-0.298,-1.399
-0.947,-0.298,-1.399
-0.76,-0.165,-2.296
-0.305,-0.224,-2.491
-0.305,-0.224,-2.491
0.244,-0.585,-2.071
0.244,-0.585,-2.071
0.552,-1.148,-1.604
0.598,-1.376,-1.462
0.497,-1.472,-1.472
0.401,-1.495,-1.565
0.1,-1.599,-2.234
0.1,-1.599,-2.234
0.019,-1.59,-2.697
0.025,-1.538,-3.195
-0.031,-1.511,-3.715
-0.061,-1.423,-4.103
-0.183,-1.287,-4.483
-0.326,-1.092,-4.985
-0.326,-1.092,-4.985
-0.43,-0.918,-5.102
-0.382,-0.814,-5.028
-0.382,-0.814,-5.028
-0.318,-0.524,-4.803
-0.318,-0.524,-4.803
-0.141,-0.167,-4.41
-0.141,-0.167,-4.41
-0.029,0.004,-4.138
0.248,0.271,-3.586
0.248,0.271,-3.586
0.333,0.513,-2.878
0.333,0.513,-2.878
0.386,0.571,-2.425
0.475,0.577,-1.896
0.408,0.661,-1.509
0.339,0.815,-1.18
0.27,0.909,-0.855
0.249,1.036,-0.494
0.22,1.086,-0.226
0.238,1.171,0.162
0.374,1.148,0.467
0.374,1.148,0.467
0.92,0.959,1.302
1.236,0.815,1.818
1.42,0.75,2.294
1.42,0.57,2.807
1.283,0.428,3.245
0.762,0.574,3.481
0.215,0.857,3.564
0.102,0.851,3.767
0.389,0.613,3.913
0.768,0.436,3.944
1.134,0.376,4.095
1.411,0.333,4.056
1.616,0.142,4.129
1.881,-0.288,4.353
1.972,-0.626,4.281
1.805,-0.798,3.979
1.529,-0.885,3.496
1.019,-0.783,2.774
0.573,-0.645,1.913
0.31,-0.612,1.086
0.214,-0.502,0.183
0.148,-0.324,-0.581
0.265,-0.275,-1.133
0.406,-0.287,-1.438
0.643,-0.281,-1.693
0.827,-0.331,-1.893
0.968,-0.426,-1.931
1.039,-0.602,-1.934
1.055,-0.728,-1.92
0.846,-0.887,-1.898
0.673,-0.979,-1.785
0.412,-1.098,-1.83
0.156,-1.202,-1.915
-0.147,-1.202,-2.103
-0.427,-1.158,-2.46
-0.672,-1.17,-2.819
-0.884,-1.129,-3.216
-1.091,-1.039,-3.698
-1.192,-0.957,-4.026
-1.249,-0.865,-4.141
-1.311,-0.68,-4.327
-1.35,-0.571,-4.428
-1.387,-0.429,-4.471
-1.405,-0.29,-4.453
-1.476,-0.16,-4.414
-1.575,-0.039,-4.3
-1.616,0.103,-4.133
-1.517,0.186,-3.838
-1.424,0.31,-3.506
-1.221,0.405,-3.135
-1.073,0.495,-2.666
-0.925,0.555,-2.194
-0.746,0.587,-1.808
-0.626,0.515,-1.385
-0.612,0.565,-0.921
-0.633,0.503,-0.526
-0.798,0.469,-0.069
-0.976,0.524,0.392
-1.152,0.591,0.729
-1.218,0.652,1.106
-1.218,0.691,1.487
-1.147,0.689,1.842
-1.038,0.643,2.283
-0.802,0.662,2.5
-0.526,0.567,2.642
-0.278,0.464,2.717
-0.102,0.43,2.544
-0.159,0.555,2.236
-0.519,0.888,1.851
-0.781,1.06,1.703
-0.862,0.911,1.61
-0.676,0.566,1.607
-0.549,0.38,1.712
-0.506,0.254,1.85
-0.3,0.056,2.191
-0.104,-0.244,2.466
0.12,-0.523,2.714
0.214,-0.906,2.987
0.282,-1.364,2.956
0.154,-1.674,2.778
-0.284,-1.722,2.375
-0.854,-1.602,1.767
-1.303,-1.577,0.965
-1.525,-1.615,0.355
-1.667,-1.536,-0.295
-1.808,-1.181,-0.824
-1.732,-0.985,-1.19
-1.497,-0.879,-1.462
-1.172,-0.903,-1.567
-0.87,-0.914,-1.586
-0.87,-0.914,-1.586
-0.175,-1.264,-1.177
-0.013,-1.425,-0.953
0.069,-1.616,-0.83
