accx,accy,accz
-2.134,-0.572,-1.896
-2.021,-0.295,-2.493
-1.798,-0.163,-2.997
-1.701,-0.033,-3.365
-1.729,0.073,-3.625
-1.8,0.192,-3.778
-1.98,0.304,-3.876
-2.12,0.447,-3.837
-2.197,0.54,-3.864
-2.203,0.587,-3.818
-2.183,0.635,-3.78
-2.096,0.613,-3.753
-1.953,0.617,-3.675
-1.738,0.468,-3.474
-1.411,0.333,-3.284
-1.082,0.17,-3.084
-0.922,0.085,-2.959
-0.88,0.054,-2.834
-1.126,0.101,-2.734
-1.126,0.101,-2.734
-1.332,0.081,-2.622
-1.355,0.083,-2.502
-1.396,0.094,-2.414
-1.369,0.121,-2.301
-1.197,0.143,-2.217
-0.916,0.248,-2.095
-0.613,0.336,-1.996
-0.393,0.472,-1.901
-0.222,0.694,-1.743
-0.077,0.905,-1.535
0.121,0.913,-1.274
0.328,0.869,-0.878
0.571,0.663,-0.355
0.885,0.481,0.182
1.038,0.424,0.687
1.016,0.527,1.116
0.818,0.668,1.588
0.485,0.856,2.111
0.216,0.947,2.65
-0.03,1.056,3.199
-0.215,1.134,3.744
-0.295,1.208,4.344
-0.306,1.219,4.773
-0.225,1.23,4.94
-0.183,1.182,5.062
-0.165,1.168,5.004
-0.309,1.142,4.957
-0.44,1.142,4.945
-0.565,1.155,4.986
-0.662,1.192,5.22
-0.576,1.196,5.954
-0.282,1.083,6.163
-0.282,1.083,6.163
0.366,0.652,6.086
0.583,0.373,5.677
0.57,0.071,5.06
0.252,-0.208,4.278
0.252,-0.208,4.278
-0.595,-0.634,2.132
-0.595,-0.634,2.132
-0.896,-0.783,0.945
-1.237,-0.992,-1.462
-1.237,-0.992,-1.462
-1.419,-0.965,-3.949
-1.419,-0.965,-3.949
-1.416,-0.999,-5.077
-1.48,-1.003,-6.842
-1.554,-1.1,-7.473
-1.536,-1.098,-7.963
-1.485,-1.145,-8.242
-1.485,-1.145,-8.242
-1.199,-1.222,-8.431
-1.199,-1.222,-8.431
-1.067,-1.198,-8.461
-1.067,-1.198,-8.461
-0.975,-1.192,-8.43
-0.661,-1.262,-8.224
-0.661,-1.262,-8.224
-0.27,-1.128,-7.661
-0.045,-0.979,-7.359
0.154,-0.889,-6.92
0.201,-0.816,-6.417
0.165,-0.682,-5.911
-0.087,-0.489,-5.443
-0.339,-0.309,-4.953
-0.516,-0.124,-4.439
-0.465,0.057,-4.006
-0.178,0.107,-3.561
0.205,0.112,-3.013
0.61,0.036,-2.31
0.941,0.047,-1.585
1.052,0.175,-0.861
1.06,0.414,-0.02
0.726,0.732,0.83
0.356,0.985,1.888
0.055,1.174,2.972
-0.042,1.179,3.965
-0.085,1.103,4.994
-0.207,1.262,5.837
-0.391,1.586,6.657
-0.355,1.743,7.344
0.258,1.387,7.92
1.114,0.733,8.316
2.008,0.218,8.658
2.774,-0.147,8.67
3.314,-0.539,8.755
3.478,-0.772,8.709
2.94,-0.796,8.402
1.864,-0.57,7.777
0.747,-0.111,6.734
0.114,0.15,5.413
-0.039,0.276,3.896
-0.039,0.276,3.896
0.219,0.768,0.477
0.503,0.897,-1.046
0.656,0.898,-2.342
0.612,0.786,-3.362
0.472,0.627,-3.93
0.412,0.384,-4.206
0.373,0.037,-4.327
0.207,-0.196,-4.431
-0.069,-0.292,-4.577
-0.325,-0.354,-4.798
-0.446,-0.53,-5.295
-0.481,-0.747,-5.805
-0.566,-0.901,-6.367
-0.619,-0.988,-6.878
-0.745,-1.015,-7.29
-0.8,-1.073,-7.751
-0.752,-1.199,-8.192
-0.773,-1.323,-8.615
-0.943,-1.301,-8.899
-1.152,-1.249,-9.058
-1.25,-1.198,-9.18
-1.303,-1.163,-9.06
-1.412,-1.151,-8.667
-1.544,-1.111,-8.013
-1.598,-1.065,-7.147
-1.454,-1.061,-6.347
-1.354,-1.055,-5.467
-1.222,-1.031,-4.665
-1,-0.971,-3.828
-0.774,-0.87,-2.975
-0.465,-0.797,-2.218
-0.341,-0.648,-1.511
-0.315,-0.389,-0.782
-0.372,0.053,0.036
-0.582,0.524,0.858
-0.688,0.841,1.784
-0.544,1.083,2.566
-0.322,1.412,3.316
-0.101,1.79,4.029
0.307,2.087,4.689
0.683,2.312,5.321
0.977,2.305,5.978
1.12,2.233,6.505
1.095,2.108,6.987
0.934,1.962,7.257
0.664,1.687,7.315
0.36,1.35,7.097
-0.016,1.115,6.722
-0.4,0.964,6.278
-0.77,0.771,5.698
-1.018,0.528,5.08
-1.231,0.27,4.456
-1.351,-0.005,3.812
-1.418,-0.29,3.04
-1.494,-0.526,2.011
-1.469,-0.613,1.393
-1.32,-0.783,0.072
-1.244,-0.874,-0.564
-1.09,-0.931,-1.569
-1.077,-0.97,-2.993
-1.12,-0.999,-3.61
-1.258,-1.059,-5.037
-1.33,-1.173,-5.923
-1.313,-1.21,-6.781
-1.268,-1.222,-7.21
-1.094,-1.239,-7.763
-0.968,-1.288,-8.192
-0.806,-1.34,-8.46
-0.674,-1.362,-8.576
-0.607,-1.404,-8.644
-0.668,-1.349,-8.613
-0.633,-1.356,-8.574
-0.553,-1.436,-8.492
-0.471,-1.528,-8.471
-0.393,-1.581,-8.422
-0.35,-1.561,-8.204
-0.171,-1.489,-7.878
-0.054,-1.38,-7.371
0.006,-1.228,-6.704
0.017,-1.114,-6.015
-0.017,-0.943,-5.286
-0.033,-0.845,-4.562
0.032,-0.748,-3.876
0.042,-0.761,-3.181
0.135,-0.69,-2.42
0.203,-0.636,-1.737
0.41,-0.614,-1.01
0.655,-0.551,-0.464
0.811,-0.386,0.02
0.661,0.015,0.593
0.296,0.535,1.171
-0.014,0.917,1.801
-0.19,1.161,2.742
-0.021,1.229,3.654
0.292,1.354,4.571
0.292,1.354,4.571
0.668,1.923,6.448
0.668,1.923,6.448
1.558,1.313,7.987
1.558,1.313,7.987
1.877,0.82,8.225
1.956,0.385,8.247
